2458;-153760.3353,-231777.4057,203668.103,-22847.3464
2459;-101823.5601,-232436.8004,68220.4941,28080.31
2460;-204290.1326,388928.4774,459913.3575,894162.0174
2461;-1128193.3712,-276540.1145,102134.382,270902.1161
2462;4281183.8888,4392968.0714,4505148.2966,4731519.8034
2463;382874.9211,6023134.829,623631.2865,6132380.883
2464;513325.1251,6176435.2555,688549.1855,7710639.4935
2465;286807.0473,5591966.726,713192.9527,7771933.7807
2466;256160.7666,4789395.3081,743839.2334,7680550.6082
2467;248224.3305,4563874.5849,751775.6695,7549059.2645
2468;249107.7811,4589423.2746,750892.2189,8143099.9218
2469;287166.6233,5600863.6047,712833.3767,8440765.3226
2470;287616.6806,5611984.8288,712383.3194,8515468.2363
2471;303533.093,5995751.8106,696466.907,8552263.2779
2472;299542.7688,5901185.3486,700457.2312,8106313.5492
2473;287166.6233,5600863.6047,712833.3767,8217790.0266
2474;280934.967,5445181.1719,719065.033,8440765.3226
2475;284926.1541,5545259.5812,715073.8459,8440765.3226
2476;283812.0913,5517458.8823,716187.9087,8552263.2779
2477;283589.7752,5511898.8477,716410.2248,8552263.2779
2478;280934.967,5445181.1719,719065.033,8496513.4871
2479;282480.6858,5484099.2012,717519.3142,8329274.0935
2480;291468.327,5706520.8595,708531.673,8217790.0266
2481;252407.8038,4683848.8104,747592.1962,8162050.8128
2482;253782.5778,4722732.8771,746217.4222,8440765.3226
2483;266773.1971,5078324.8348,733226.8029,8440765.3226
2484;260590.3351,4911623.0134,739409.6649,8440765.3226
2485;266564.4898,5072767.5926,733435.5102,7994845.079
2486;286403.0245,5581957.8444,713596.9755,7883385.0237
2487;309623.9975,6138176.2047,690376.0025,7771933.7807
2488;331625.8455,6635717.6592,668374.1545,7883385.0237
2489;341299.0815,6847276.8402,658700.9185,7939113.9744
2490;354031.1506,7120140.0701,645968.8494,7939113.9744
2491;354031.1506,7119590.5849,633810.8351,7459920.4242
2492;560722.2464,5564717.4069,714134.8471,6010215.7814
2493;275050.4654,5295084.9489,724949.5346,6082539.0562
2494;275007.3412,5293973.2211,724992.6588,6578938.2764
2495;264321.8689,5012751.6394,735678.1311,7712868.3272
2496;260915.9631,4920512.9707,739084.0369,7767475.9197
2497;249223.3132,4592755.7673,750776.6868,7679436.2184
2498;239506.4999,4305097.0021,760493.5001,8982700.2294
2499;232926.5765,4100793.6156,767073.4235,9332899.0334
2500;231532.4572,4056385.9635,768467.5428,9332899.0334
2501;225754.5118,3867677.5198,774245.4882,9332899.0334
2502;230840.3101,4034182.9514,769159.6899,9332899.0334
